Drug,Solvent,Drug SMILES,Solvent SMILES,Temperature,Solubility_log10,Solubility Unit
Erythromycin A dihydrate,Acetone,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,CC(=O)C,34.85,-0.38115403,mol/L
Erythromycin A dihydrate,Acetone,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,CC(=O)C,39.95,-0.205224498,mol/L
Erythromycin A dihydrate,Acetone,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,CC(=O)C,44.85,-0.102736644,mol/L
Erythromycin A dihydrate,Acetone,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,CC(=O)C,49.85,0.080720465,mol/L
Flubiprofen,Acetone,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,CC(=O)C,25,0.289980958,mol/L
Haloperidol,Acetone,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,CC(=O)C,25,-1.36963409,mol/L
Hesperetin,Acetone,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,CC(=O)C,15.05,-0.54515514,mol/L
Hesperetin,Acetone,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,CC(=O)C,20.05,-0.505845406,mol/L
Hesperetin,Acetone,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,CC(=O)C,25.05,-0.468521083,mol/L
Hesperetin,Acetone,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,CC(=O)C,30.05,-0.436518915,mol/L
Hesperetin,Acetone,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,CC(=O)C,35.05,-0.416801226,mol/L
Hesperetin,Acetone,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,CC(=O)C,40.05,-0.41453927,mol/L
Hesperetin,Acetone,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,CC(=O)C,45.05,-0.404503778,mol/L
Hesperetin,Acetone,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,CC(=O)C,50.05,-0.367542708,mol/L
Ibuprofen,Acetone,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,CC(=O)C,10,0.357714651,mol/L
Ibuprofen,Acetone,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,CC(=O)C,15,0.442270246,mol/L
Ibuprofen,Acetone,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,CC(=O)C,20,0.534741095,mol/L
Ibuprofen,Acetone,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,CC(=O)C,25,0.87183751,mol/L
Ibuprofen,Acetone,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,CC(=O)C,30,0.721212712,mol/L
Ibuprofen,Acetone,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,CC(=O)C,35,0.81368356,mol/L
Imidacloprid,Acetone,C1CN(C(=N[N+](=O)[O-])N1)CC2=CN=C(C=C2)Cl,CC(=O)C,21.49,-0.777245539,mol/L
Imidacloprid,Acetone,C1CN(C(=N[N+](=O)[O-])N1)CC2=CN=C(C=C2)Cl,CC(=O)C,26.9,-0.704302458,mol/L
Imidacloprid,Acetone,C1CN(C(=N[N+](=O)[O-])N1)CC2=CN=C(C=C2)Cl,CC(=O)C,28.61,-0.68300949,mol/L
Imidacloprid,Acetone,C1CN(C(=N[N+](=O)[O-])N1)CC2=CN=C(C=C2)Cl,CC(=O)C,31.9,-0.645146662,mol/L
Imidacloprid,Acetone,C1CN(C(=N[N+](=O)[O-])N1)CC2=CN=C(C=C2)Cl,CC(=O)C,34.62,-0.611495849,mol/L
Imidacloprid,Acetone,C1CN(C(=N[N+](=O)[O-])N1)CC2=CN=C(C=C2)Cl,CC(=O)C,37.02,-0.580187364,mol/L
Imidacloprid,Acetone,C1CN(C(=N[N+](=O)[O-])N1)CC2=CN=C(C=C2)Cl,CC(=O)C,44.1,-0.484679723,mol/L
Imidacloprid,Acetone,C1CN(C(=N[N+](=O)[O-])N1)CC2=CN=C(C=C2)Cl,CC(=O)C,45.99,-0.455937918,mol/L
Imidacloprid,Acetone,C1CN(C(=N[N+](=O)[O-])N1)CC2=CN=C(C=C2)Cl,CC(=O)C,48.44,-0.426869206,mol/L
Imidacloprid,Acetone,C1CN(C(=N[N+](=O)[O-])N1)CC2=CN=C(C=C2)Cl,CC(=O)C,54.74,-0.334290064,mol/L
Imidacloprid,Acetone,C1CN(C(=N[N+](=O)[O-])N1)CC2=CN=C(C=C2)Cl,CC(=O)C,57.05,-0.298064598,mol/L
Irbesartan (form A),Acetone,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,CC(=O)C,5.2,-2.407954106,mol/L
Irbesartan (form A),Acetone,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,CC(=O)C,10,-2.299677106,mol/L
Irbesartan (form A),Acetone,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,CC(=O)C,15.2,-2.213360785,mol/L
Irbesartan (form A),Acetone,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,CC(=O)C,20.45,-2.136430495,mol/L
Irbesartan (form A),Acetone,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,CC(=O)C,25.1,-2.029412376,mol/L
Irbesartan (form A),Acetone,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,CC(=O)C,29.8,-1.925559379,mol/L
Irbesartan (form A),Acetone,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,CC(=O)C,35.25,-1.840534986,mol/L
Irbesartan (form A),Acetone,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,CC(=O)C,39.6,-1.749449339,mol/L
Irbesartan (form A),Acetone,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,CC(=O)C,45.4,-1.661868193,mol/L
Irbesartan (form A),Acetone,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,CC(=O)C,49.95,-1.576574169,mol/L
Isoniazid,Acetone,C1=CN=CC=C1C(=O)NN,CC(=O)C,27.85,-0.880917503,mol/L
Isoniazid,Acetone,C1=CN=CC=C1C(=O)NN,CC(=O)C,29.85,-0.838519812,mol/L
Isoniazid,Acetone,C1=CN=CC=C1C(=O)NN,CC(=O)C,34.85,-0.72080377,mol/L
Isoniazid,Acetone,C1=CN=CC=C1C(=O)NN,CC(=O)C,37.85,-0.648984957,mol/L
Isoniazid,Acetone,C1=CN=CC=C1C(=O)NN,CC(=O)C,39.85,-0.580187364,mol/L
Isoquercitrin,Acetone,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O,CC(=O)C,50,-3.346787486,mol/L
l-(+)-Ascorbic acid,Acetone,C(C(C1C(=C(C(=O)O1)O)O)O)O,CC(=O)C,19.85,-2.445850292,mol/L
l-(+)-Ascorbic acid,Acetone,C(C(C1C(=C(C(=O)O1)O)O)O)O,CC(=O)C,24.85,-2.355647687,mol/L
l-(+)-Ascorbic acid,Acetone,C(C(C1C(=C(C(=O)O1)O)O)O)O,CC(=O)C,29.85,-2.292574187,mol/L
l-(+)-Ascorbic acid,Acetone,C(C(C1C(=C(C(=O)O1)O)O)O)O,CC(=O)C,34.85,-2.227281374,mol/L
l-(+)-Ascorbic acid,Acetone,C(C(C1C(=C(C(=O)O1)O)O)O)O,CC(=O)C,39.85,-2.153144889,mol/L
l-(+)-Ascorbic acid,Acetone,C(C(C1C(=C(C(=O)O1)O)O)O)O,CC(=O)C,44.85,-2.097256664,mol/L
l-(+)-Ascorbic acid,Acetone,C(C(C1C(=C(C(=O)O1)O)O)O)O,CC(=O)C,49.85,-2.054478633,mol/L
Lactose,Acetone,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O.O,CC(=O)C,25,-3.573126165,mol/L
Lamivudine (form 2),Acetone,C1C(OC(S1)CO)N2C=CC(=NC2=O)N,CC(=O)C,5,-2.604453457,mol/L
Lamivudine (form 2),Acetone,C1C(OC(S1)CO)N2C=CC(=NC2=O)N,CC(=O)C,15,-2.491096612,mol/L
Lamivudine (form 2),Acetone,C1C(OC(S1)CO)N2C=CC(=NC2=O)N,CC(=O)C,25,-2.387200467,mol/L
Lamivudine (form 2),Acetone,C1C(OC(S1)CO)N2C=CC(=NC2=O)N,CC(=O)C,35,-2.178484703,mol/L
Lamivudine (form 2),Acetone,C1C(OC(S1)CO)N2C=CC(=NC2=O)N,CC(=O)C,45,-1.948708564,mol/L
Lovastatin,Acetone,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,CC(=O)C,5.5,-1.053678942,mol/L
Lovastatin,Acetone,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,CC(=O)C,10.05,-0.987534172,mol/L
Lovastatin,Acetone,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,CC(=O)C,11.95,-0.937711533,mol/L
Lovastatin,Acetone,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,CC(=O)C,15.05,-0.918025514,mol/L
Rifapentine,Acetone,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C6CCCC6)C,CC(=O)C,5,-2.142207757,mol/L
Rifapentine,Acetone,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C6CCCC6)C,CC(=O)C,10,-2.136430495,mol/L
Rifapentine,Acetone,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C6CCCC6)C,CC(=O)C,15,-2.131539015,mol/L
Rifapentine,Acetone,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C6CCCC6)C,CC(=O)C,20,-2.121125799,mol/L
Rifapentine,Acetone,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C6CCCC6)C,CC(=O)C,24,-2.110183669,mol/L
Rifapentine,Acetone,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C6CCCC6)C,CC(=O)C,30,-2.100263903,mol/L
Rifapentine,Acetone,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C6CCCC6)C,CC(=O)C,35,-2.076054784,mol/L
Rifapentine,Acetone,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C6CCCC6)C,CC(=O)C,40,-2.057887034,mol/L
Rifapentine,Acetone,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C6CCCC6)C,CC(=O)C,45,-2.03586997,mol/L
Rifapentine,Acetone,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C6CCCC6)C,CC(=O)C,50,-2.014914044,mol/L
Rutin,Acetone,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,CC(=O)C,10,-2.632976544,mol/L
Rutin,Acetone,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,CC(=O)C,25,-2.427849647,mol/L
Rutin,Acetone,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,CC(=O)C,40,-2.127504352,mol/L
Rutin,Acetone,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,CC(=O)C,50,-2.024948469,mol/L
Rutin,Acetone,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,CC(=O)C,50,-1.869666232,mol/L
Salicylamide,Acetone,C1=CC=C(C(=C1)C(=O)N)O,CC(=O)C,10,0.181432465,mol/L
Salicylamide,Acetone,C1=CC=C(C(=C1)C(=O)N)O,CC(=O)C,15,0.221445649,mol/L
Salicylamide,Acetone,C1=CC=C(C(=C1)C(=O)N)O,CC(=O)C,20,0.264766972,mol/L
Salicylamide,Acetone,C1=CC=C(C(=C1)C(=O)N)O,CC(=O)C,25,0.311294633,mol/L
Salicylamide,Acetone,C1=CC=C(C(=C1)C(=O)N)O,CC(=O)C,30,0.352925231,mol/L
Salicylamide,Acetone,C1=CC=C(C(=C1)C(=O)N)O,CC(=O)C,35,0.39761164,mol/L
Salicylamide,Acetone,C1=CC=C(C(=C1)C(=O)N)O,CC(=O)C,40,0.444839413,mol/L
Salicylamide,Acetone,C1=CC=C(C(=C1)C(=O)N)O,CC(=O)C,45,0.485242824,mol/L
Salicylamide,Acetone,C1=CC=C(C(=C1)C(=O)N)O,CC(=O)C,50,0.532701952,mol/L
Salicylic acid,Acetone,C1=CC=C(C(=C1)C(=O)O)O,CC(=O)C,10,0.372828537,mol/L
Salicylic acid,Acetone,C1=CC=C(C(=C1)C(=O)O)O,CC(=O)C,15,0.408643058,mol/L
Salicylic acid,Acetone,C1=CC=C(C(=C1)C(=O)O)O,CC(=O)C,20,0.444373606,mol/L
Salicylic acid,Acetone,C1=CC=C(C(=C1)C(=O)O)O,CC(=O)C,25,0.321094084,mol/L
Salicylic acid,Acetone,C1=CC=C(C(=C1)C(=O)O)O,CC(=O)C,25,0.478282132,mol/L
Salicylic acid,Acetone,C1=CC=C(C(=C1)C(=O)O)O,CC(=O)C,30,0.514533206,mol/L
Salicylic acid,Acetone,C1=CC=C(C(=C1)C(=O)O)O,CC(=O)C,35,0.543434936,mol/L
Salicylic acid,Acetone,C1=CC=C(C(=C1)C(=O)O)O,CC(=O)C,40,0.576735104,mol/L
Salicylic acid,Acetone,C1=CC=C(C(=C1)C(=O)O)O,CC(=O)C,45,0.609405599,mol/L
Salicylic acid,Acetone,C1=CC=C(C(=C1)C(=O)O)O,CC(=O)C,50,0.641503171,mol/L
Sitosterol,Acetone,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,CC(=O)C,30.7,-1.053494193,mol/L
Sitosterol,Acetone,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,CC(=O)C,33.9,-1.037676232,mol/L
Sitosterol,Acetone,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,CC(=O)C,38,-0.993080731,mol/L
Sitosterol,Acetone,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,CC(=O)C,42.1,-0.927467057,mol/L
Sitosterol,Acetone,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,CC(=O)C,45.3,-0.84289603,mol/L
Sodium ibuprofen,Acetone,CC(C)CC1=CC=C(C=C1)C(C)C(=O)[O-].[Na+],CC(=O)C,25,-2.284316314,mol/L
Sodium benzoate,Acetone,C1=CC=C(C=C1)C(=O)[O-].[Na+],CC(=O)C,25,-3.544957086,mol/L
Sodium diclofenac,Acetone,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+],CC(=O)C,20,-1.947227323,mol/L
Sodium diclofenac,Acetone,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+],CC(=O)C,25,-4.041436117,mol/L
Sodium diclofenac,Acetone,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+],CC(=O)C,25,-1.95111368,mol/L
Sodium diclofenac,Acetone,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+],CC(=O)C,30,-1.930156815,mol/L
Sodium diclofenac,Acetone,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+],CC(=O)C,35,-1.911053866,mol/L
Sodium diclofenac,Acetone,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+],CC(=O)C,40,-1.879314384,mol/L
¦Â-Carotene,Acetone,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C,CC(=O)C,25,-3.42886323,mol/L
Betulin,Acetone,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)CO,CC(=O)C,10.05,-2.115620274,mol/L
Betulin,Acetone,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)CO,CC(=O)C,15.05,-1.923042451,mol/L
Betulin,Acetone,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)CO,CC(=O)C,25.05,-1.662143765,mol/L
Betulin,Acetone,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)CO,CC(=O)C,35.05,-1.503348915,mol/L
Carbamazepine,Acetone,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,CC(=O)C,25,-1.294227337,mol/L
Cefotaxim sodium,Acetone,CON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC5=CC=CC=C54)C(=O)[O-].OS(=O)(=O)O,CC(=O)C,5,-1.946212967,mol/L
Cefotaxim sodium,Acetone,CON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC5=CC=CC=C54)C(=O)[O-].OS(=O)(=O)O,CC(=O)C,10,-1.943265243,mol/L
Cefotaxim sodium,Acetone,CON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC5=CC=CC=C54)C(=O)[O-].OS(=O)(=O)O,CC(=O)C,15,-1.934540284,mol/L
Cefotaxim sodium,Acetone,CON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC5=CC=CC=C54)C(=O)[O-].OS(=O)(=O)O,CC(=O)C,20,-1.920841989,mol/L
Cefotaxim sodium,Acetone,CON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC5=CC=CC=C54)C(=O)[O-].OS(=O)(=O)O,CC(=O)C,30,-1.896871739,mol/L
Cefotaxim sodium,Acetone,CON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC5=CC=CC=C54)C(=O)[O-].OS(=O)(=O)O,CC(=O)C,40,-1.884722842,mol/L
